NCESSchoolID,inputAddress,matchIndicator,matchType,outputAddress,lonLat,tigerLineId,unkDontCare
"390473602863","3173 Springdale Rd, Cincinnati, OH, 45251","Match","Exact","3173 Springdale Rd, CINCINNATI, OH, 45251","-84.58316,39.25603","103966976","L"
"170993000722","1450 W Cermak Rd, Chicago, IL, 60608","Match","Exact","1450 W Cermak Rd, CHICAGO, IL, 60608","-87.66244,41.852413","111803425","R"
"170993000725","6108 S Natoma Ave, Chicago, IL, 60638","Match","Exact","6108 S Natoma Ave, CHICAGO, IL, 60638","-87.78751,41.78102","111796685","R"
"390473602861","11770 Pippin Rd, Cincinnati, OH, 45231","Match","Exact","11770 Pippin Rd, CINCINNATI, OH, 45231","-84.571236,39.29764","103955895","R"
"390473602860","11765 Hamilton Ave, Cincinnati, OH, 45231","Match","Exact","11765 Hamilton Ave, CINCINNATI, OH, 45231","-84.56382,39.296974","613479412","L"
"390473602866","3130 Jessup Rd, Cincinnati, OH, 45239","Match","Exact","3130 Jessup Rd, CINCINNATI, OH, 45239","-84.5881,39.198055","103972460","R"
"170993000729","1845 W Cortland St, Chicago, IL, 60622","Match","Exact","1845 W Cortland St, CHICAGO, IL, 60622","-87.6742,41.91599","111764160","L"
"170993000728","2710 S Dearborn St, Chicago, IL, 60616","Match","Exact","2710 S Dearborn St, CHICAGO, IL, 60616","-87.62846,41.844242","111829012","R"
"390473602864","2760 Jonrose Ave, Cincinnati, OH, 45239","Match","Exact","2760 Jonrose Ave, CINCINNATI, OH, 45239","-84.57913,39.212437","103920467","R"
"170993000730","512 S Lavergne Ave, Chicago, IL, 60644","Match","Exact","512 S Lavergne Ave, CHICAGO, IL, 60644","-87.7492,41.87388","605043199","R"
"40386002365","3409 W WHITTON AVE, Phoenix, AZ, 85017","Match","Exact","3409 W Whitton Ave, PHOENIX, AZ, 85017","-112.13233,33.48964","128199357","L"
"170993000731","330 E 133rd St, Chicago, IL, 60827","Match","Exact","330 E 133rd St, CHICAGO, IL, 60827","-87.61655,41.65366","618053453","L"
"240009001675","1500 Harlem Avenue, Baltimore, MD, 21217","Match","Exact","1500 Harlem Ave, BALTIMORE, MD, 21217","-76.643654,39.296543","206416399","R"
"240009001678","2500 E. Northern Parkway, Baltimore, MD, 21214","Match","Exact","2500 E Northern Pkwy, BALTIMORE, MD, 21214","-76.56249,39.36682","206410592","L"
"170993000734","10845 S Union Ave, Chicago, IL, 60628","Match","Exact","10845 S Union Ave, CHICAGO, IL, 60628","-87.64008,41.697006","111833517","L"
"40027802168","3050 W AGUA FRIA FWY STE 250, Phoenix, AZ, 85027","Match","Non_Exact","3050 Agua Fria Fwy, PHOENIX, AZ, 85037","-112.264,33.48321","244010536","L"
"173351003463","8311 IL Route 31, Richmond, IL, 60071","Match","Exact","8311 State Rte 31, RICHMOND, IL, 60071","-88.305855,42.448013","119843415","R"
"170993000738","2040 W 62nd St, Chicago, IL, 60636","Match","Exact","2040 W 62nd St, CHICAGO, IL, 60636","-87.67534,41.78116","605482158","R"
"62250014120","2120 Obispo Ave., Long Beach, CA, 90804","Match","Non_Exact","2120 N Obispo Ave, LONG BEACH, CA, 90804","-118.15455,33.795406","142672577","R"
"170993000739","3400 W 65th Pl, Chicago, IL, 60629","Match","Exact","3400 W 65th Pl, CHICAGO, IL, 60629","-87.708,41.774353","111816845","R"
"370039303366","2600 Grimes Street, Charlotte, NC, 28206","Match","Exact","2600 Grimes St, CHARLOTTE, NC, 28206","-80.82324,35.25197","70507680","R"
"240009000329","3400 Ellerslie Ave, Baltimore, MD, 21218","Match","Exact","3400 Ellerslie Ave, BALTIMORE, MD, 21218","-76.60364,39.329926","206409300","L"
